Observation Date	Mementos (All Web Objects)	Web Pages (HTML, Text, and PDF)	Reference
2005-09-20	40,000,000,000.000		https://web.archive.org/web/20050920061927/http://www.archive.org/index.php
2006-02-08	55,000,000,000.000		https://web.archive.org/web/20060208032956/http://www.archive.org:80/index.php
2006-12-07	85,000,000,000.000		https://web.archive.org/web/20061207011054/http://www.archive.org/index.php
2009-04-22	150,000,000,000.000		https://web.archive.org/web/20090422100540/http://www.archive.org/index.php
2013-01-11	240,000,000,000.000		https://web.archive.org/web/20130111232044/http://archive.org/index.php
2013-02-01	245,000,000,000.000		https://web.archive.org/web/20130201121259/http://archive.org/index.php
2013-02-05	260,000,000,000.000		https://twitter.com/brewster_kahle/status/298923975596208128
2013-02-14	264,000,000,000.000		https://web.archive.org/web/20130214044341/http://archive.org/index.php
2013-02-20	267,000,000,000.000		https://web.archive.org/web/20130220190038/http://archive.org/index.php
2013-02-26	271,000,000,000.000		https://web.archive.org/web/20130226230627/http://archive.org/index.php
2013-03-05	276,000,000,000.000		https://web.archive.org/web/20130305230946/http://archive.org/index.php
2013-03-20	280,000,000,000.000		https://web.archive.org/web/20130320194117/http://archive.org/index.php
2013-03-28	281,000,000,000.000		https://web.archive.org/web/20130328165149/http://archive.org/index.php
2013-04-10	283,000,000,000.000		https://web.archive.org/web/20130410122610/http://archive.org/index.php
2013-04-16	292,000,000,000.000		https://web.archive.org/web/20130416050053/http://archive.org/index.php
2013-04-23	309,000,000,000.000		https://web.archive.org/web/20130423221825/http://archive.org/index.php
2013-04-30	333,000,000,000.000		https://twitter.com/brewster_kahle/status/329311409806639104
2013-05-09	338,000,000,000.000		https://web.archive.org/web/20130509181045/http://archive.org/index.php
2013-05-26	341,000,000,000.000		https://web.archive.org/web/20130526033043/http://archive.org/index.php
2013-05-28	342,000,000,000.000		https://web.archive.org/web/20130528233327/http://archive.org/index.php
2013-06-12	344,000,000,000.000		https://web.archive.org/web/20130612213140/http://archive.org/index.php
2013-06-21	346,000,000,000.000		https://web.archive.org/web/20130621090818/http://archive.org/index.php
2013-06-28	347,000,000,000.000		https://web.archive.org/web/20130628201634/http://archive.org/index.php
2013-07-04	349,000,000,000.000		https://web.archive.org/web/20130704143545/http://archive.org/index.php
2013-07-10	350,000,000,000.000		https://web.archive.org/web/20130710171900/http://archive.org/index.php
2013-07-17	351,000,000,000.000		https://web.archive.org/web/20130717180541/http://archive.org/index.php
2013-07-30	352,000,000,000.000		https://web.archive.org/web/20130730201536/http://archive.org/index.php
2013-08-06	352,769,211,000.000		https://twitter.com/brewster_kahle/status/364834158285041665
2013-08-06	353,000,000,000.000		https://web.archive.org/web/20130806214626/http://archive.org/index.php
2013-08-14	354,000,000,000.000		https://web.archive.org/web/20130814000402/http://archive.org/index.php
2013-08-28	355,000,000,000.000		https://web.archive.org/web/20130828114929/http://archive.org/index.php
2013-09-04	356,000,000,000.000		https://web.archive.org/web/20130904063959/http://archive.org/index.php
2013-09-12	357,000,000,000.000		https://web.archive.org/web/20130912235947/http://archive.org/index.php
2013-10-02	359,000,000,000.000		https://web.archive.org/web/20131002235812/http://archive.org/index.php
2013-10-12	361,000,000,000.000		https://web.archive.org/web/20131012003626/http://archive.org/
2013-11-04	364,000,000,000.000		https://web.archive.org/web/20131104180828/https://archive.org/index.php
2013-11-09	366,000,000,000.000		https://web.archive.org/web/20131109030447/https://archive.org/
2013-11-21	368,000,000,000.000		https://web.archive.org/web/20131121235337/https://archive.org/
2013-12-13	372,000,000,000.000		https://web.archive.org/web/20131213083331/https://archive.org/
2013-12-20	373,000,000,000.000		https://web.archive.org/web/20131220232400/https://archive.org/
2014-01-01	374,000,000,000.000		https://web.archive.org/web/20140101013014/https://archive.org/
2014-01-07	376,000,000,000.000		https://web.archive.org/web/20140107074458/https://archive.org/
2014-01-14	378,000,000,000.000		https://web.archive.org/web/20140114214508/https://archive.org/
2014-01-22	386,000,000,000.000		https://web.archive.org/web/20140122224644/https://archive.org/
2014-01-31	388,000,000,000.000		https://web.archive.org/web/20140131072712/https://archive.org/
2014-02-07	390,000,000,000.000		https://web.archive.org/web/20140207181412/https://archive.org/
2014-02-20	391,000,000,000.000		https://web.archive.org/web/20140220075514/https://archive.org/
2014-02-28	397,000,000,000.000		https://web.archive.org/web/20140228022115/https://archive.org/
2014-03-11	398,000,000,000.000		https://web.archive.org/web/20140311064613/https://archive.org/
2014-03-21	402,000,000,000.000		https://web.archive.org/web/20140321184858/https://archive.org/
2014-04-01	404,000,000,000.000		https://web.archive.org/web/20140401000628/https://archive.org/
2014-04-14	407,000,000,000.000		https://web.archive.org/web/20140414200501/https://archive.org/
2014-04-23	408,000,000,000.000		https://web.archive.org/web/20140423051843/https://archive.org/
2014-05-01	410,000,000,000.000		https://web.archive.org/web/20140501222427/https://archive.org/
2014-05-13	411,000,000,000.000		https://web.archive.org/web/20140513031016/https://archive.org/
2014-05-29	412,000,000,000.000		https://web.archive.org/web/20140529061955/https://archive.org/
2014-06-13	415,000,000,000.000		https://web.archive.org/web/20140613013226/https://archive.org/
2014-06-24	416,000,000,000.000		https://web.archive.org/web/20140624072724/https://archive.org/
2014-07-10	417,000,000,000.000		https://web.archive.org/web/20140710061819/https://archive.org/
2014-07-24	419,000,000,000.000		https://web.archive.org/web/20140724181048/https://archive.org/
2014-08-08	423,000,000,000.000		https://web.archive.org/web/20140808224457/https://archive.org/
2014-08-27	426,000,000,000.000		https://web.archive.org/web/20140827041757/https://archive.org/
2014-09-16	430,000,000,000.000		https://web.archive.org/web/20140916050111/https://archive.org/
2014-10-07	435,000,000,000.000		https://web.archive.org/web/20141007141954/https://archive.org/
2015-01-23	452,000,000,000.000		https://web.archive.org/web/20150123201554/https://archive.org/
2015-02-20	455,000,000,000.000		https://web.archive.org/web/20150220202755/https://archive.org/
2015-03-08	456,000,000,000.000		https://web.archive.org/web/20150308162453/https://archive.org/
2015-12-31	459,000,000,000.000		https://web.archive.org/web/20151231014458/https://archive.org/
2016-01-13	462,000,000,000.000		https://web.archive.org/web/20160113213121/https://archive.org/
2016-01-29	464,000,000,000.000		https://web.archive.org/web/20160129013100/https://archive.org/
2016-02-10	466,000,000,000.000		https://web.archive.org/web/20160210210306/https://archive.org/
2016-03-04	469,000,000,000.000		https://web.archive.org/web/20160304032611/https://archive.org/
2016-03-31	472,000,000,000.000		https://web.archive.org/web/20160331001255/https://archive.org/
2016-04-20	478,000,000,000.000		https://web.archive.org/web/20160420224125/https://archive.org/
2016-05-06	484,000,000,000.000		https://web.archive.org/web/20160506233039/https://archive.org/
2016-05-27	487,000,000,000.000		https://web.archive.org/web/20160527074101/https://archive.org/
2016-06-23	491,000,000,000.000		https://web.archive.org/web/20160623193814/https://archive.org/
2016-07-23	498,000,000,000.000		https://web.archive.org/web/20160723200854/https://archive.org/
2016-08-12	502,000,000,000.000		https://web.archive.org/web/20160812195046/https://archive.org/
2016-09-02	505,000,000,000.000		https://web.archive.org/web/20160902170253/https://archive.org/
2016-09-29	510,000,000,000.000		https://web.archive.org/web/20160929015042/https://archive.org/
2016-10-26		273,000,000,000.000	https://web.archive.org/web/20161026000954/https://archive.org/
2016-11-22		279,000,000,000.000	https://web.archive.org/web/20161122000837/https://archive.org/
2017-03-09		284,000,000,000.000	https://web.archive.org/web/20170309082042/https://archive.org/
2017-04-07		286,000,000,000.000	https://web.archive.org/web/20170407044347/https://archive.org/
2017-06-07		294,000,000,000.000	https://web.archive.org/web/20170607014557/https://archive.org/
2017-06-21	567,683,748,000.000		https://twitter.com/brewster_kahle/status/877668269846482945
2017-06-21		296,000,000,000.000	https://web.archive.org/web/20170621124804/https://archive.org/
2017-06-22		298,000,000,000.000	https://web.archive.org/web/20170622135428/https://archive.org/
2017-07-10	571,233,306,000.000		https://twitter.com/brewster_kahle/status/884550037744648192
2017-07-14		299,000,000,000.000	https://web.archive.org/web/20170714012343/https://archive.org/
2017-07-14		300,000,000,000.000	https://web.archive.org/web/20170714222505/https://archive.org/index.php
2017-07-29		301,000,000,000.000	https://web.archive.org/web/20170729095853/https://archive.org/
2017-07-29		302,000,000,000.000	https://web.archive.org/web/20170729161814/https://archive.org/
2017-08-11		303,000,000,000.000	https://web.archive.org/web/20170811165814/https://archive.org/
2017-08-13		304,000,000,000.000	https://web.archive.org/web/20170813184045/https://archive.org/
2017-09-03		305,000,000,000.000	https://web.archive.org/web/20170903050945/https://archive.org/
2017-09-12	585,000,000,000.000		https://twitter.com/brewster_kahle/status/907576646252642304
2017-10-07		306,000,000,000.000	https://web.archive.org/web/20171007230738/https://archive.org/index.php
2017-11-04		307,000,000,000.000	https://web.archive.org/web/20171104213314/https://archive.org/
2017-11-05		308,000,000,000.000	https://web.archive.org/web/20171105145847/https://archive.org/
2017-12-28		309,000,000,000.000	https://web.archive.org/web/20171228024726/https://archive.org/
2017-12-29		310,000,000,000.000	https://web.archive.org/web/20171229142849/https://archive.org/
2018-03-06		312,000,000,000.000	https://web.archive.org/web/20180306161646/https://archive.org/
2018-03-06		313,000,000,000.000	https://web.archive.org/web/20180306164742/https://archive.org/
2018-03-07		319,000,000,000.000	https://web.archive.org/web/20180307090546/https://archive.org/
2018-03-07		320,000,000,000.000	https://web.archive.org/web/20180307171556/https://archive.org/
2018-03-08		321,000,000,000.000	https://web.archive.org/web/20180308033323/https://archive.org/
2018-03-08		322,000,000,000.000	https://web.archive.org/web/20180308113524/https://archive.org/
2018-03-08		324,000,000,000.000	https://web.archive.org/web/20180308181046/https://archive.org/
2018-03-21		325,000,000,000.000	https://web.archive.org/web/20180321195420/https://archive.org/
2018-03-24		326,000,000,000.000	https://web.archive.org/web/20180324102339/https://archive.org/
2018-04-15		327,000,000,000.000	https://web.archive.org/web/20180415110927/https://archive.org/
2018-04-23	643,270,620,000.000		https://twitter.com/brewster_kahle/status/988485028114907136
2018-05-09	651,621,510,000.000		https://twitter.com/brewster_kahle/status/994380510011928578
2018-05-31		328,000,000,000.000	https://web.archive.org/web/20180531091238/https://archive.org/
2018-05-31		329,000,000,000.000	https://web.archive.org/web/20180531200550/https://archive.org/
2018-06-01		330,000,000,000.000	https://web.archive.org/web/20180601010058/https://archive.org/
2018-06-01		331,000,000,000.000	https://web.archive.org/web/20180601023603/https://archive.org/
2018-06-02		332,000,000,000.000	https://web.archive.org/web/20180602025925/https://archive.org/
2018-07-03		333,000,000,000.000	https://web.archive.org/web/20180703064107/https://archive.org/index.php
2018-07-26		334,000,000,000.000	https://web.archive.org/web/20180726002455/https://archive.org/
2018-08-11		335,000,000,000.000	https://web.archive.org/web/20180811113509/https://archive.org/
2018-08-25		336,000,000,000.000	https://web.archive.org/web/20180825160517/https://archive.org/
2018-09-11		337,000,000,000.000	https://web.archive.org/web/20180911235503/https://archive.org/
2018-09-12		338,000,000,000.000	https://web.archive.org/web/20180912010441/https://archive.org/
2018-10-06		339,000,000,000.000	https://web.archive.org/web/20181006182755/https://archive.org/
2018-10-26		340,000,000,000.000	https://web.archive.org/web/20181026120233/https://archive.org/
2018-10-27		341,000,000,000.000	https://web.archive.org/web/20181027163734/https://archive.org/index.php
2018-11-17		342,000,000,000.000	https://web.archive.org/web/20181117072157/https://archive.org/
2018-11-17		343,000,000,000.000	https://web.archive.org/web/20181117113135/https://archive.org/
2018-12-01		344,000,000,000.000	https://web.archive.org/web/20181201131308/https://archive.org/
2018-12-18		345,000,000,000.000	https://web.archive.org/web/20181218215549/https://archive.org/
2019-01-21	703,726,890,000.000		https://twitter.com/brewster_kahle/status/1087515601717800960
2019-01-22		348,000,000,000.000	https://web.archive.org/web/20190122152624/https://archive.org/
2019-01-22		349,000,000,000.000	https://web.archive.org/web/20190122162716/https://archive.org/
2019-03-20		350,000,000,000.000	https://web.archive.org/web/20190320212403/https://archive.org/
2019-03-20	715,436,106,000.000		https://twitter.com/brewster_kahle/status/1108521670036213761
2019-03-21		351,000,000,000.000	https://web.archive.org/web/20190321020315/https://archive.org/
2019-04-15		352,000,000,000.000	https://web.archive.org/web/20190415230521/https://archive.org/
2019-04-16		355,000,000,000.000	https://web.archive.org/web/20190416015714/https://archive.org/
2019-04-16		356,000,000,000.000	https://web.archive.org/web/20190416123438/https://archive.org/
2019-04-16	731,667,951,000.000		https://twitter.com/brewster_kahle/status/1118172506777509890
2019-04-17		357,000,000,000.000	https://web.archive.org/web/20190417011805/https://archive.org/
2019-05-14		358,000,000,000.000	https://web.archive.org/web/20190514024322/https://archive.org/
2019-05-14		359,000,000,000.000	https://web.archive.org/web/20190514031847/https://archive.org/
2019-05-14		361,000,000,000.000	https://web.archive.org/web/20190514041415/https://archive.org/
2019-05-14		362,000,000,000.000	https://web.archive.org/web/20190514172607/https://archive.org/
2019-06-14	750,000,000,000.000		https://twitter.com/brewster_kahle/status/1139700494748663809
2019-06-15		363,000,000,000.000	https://web.archive.org/web/20190615051144/https://archive.org/
2019-06-15		364,000,000,000.000	https://web.archive.org/web/20190615141244/https://archive.org/
2019-06-15		365,000,000,000.000	https://web.archive.org/web/20190615173016/https://archive.org/
2019-06-15		366,000,000,000.000	https://web.archive.org/web/20190615225715/https://archive.org/
2019-07-06		367,000,000,000.000	https://web.archive.org/web/20190706014318/https://archive.org/
2019-07-06		368,000,000,000.000	https://web.archive.org/web/20190706035029/https://archive.org/
2019-07-06		369,000,000,000.000	https://web.archive.org/web/20190706060500/https://archive.org/
2019-07-06		370,000,000,000.000	https://web.archive.org/web/20190706080024/https://archive.org/
2019-07-06		371,000,000,000.000	https://web.archive.org/web/20190706141245/https://archive.org/
2019-07-26		372,000,000,000.000	https://web.archive.org/web/20190726223532/https://archive.org/
2019-07-27		373,000,000,000.000	https://web.archive.org/web/20190727014348/https://archive.org/
2020-10-26	1,000,000,000,000.000		https://twitter.com/internetarchive/status/1320801643135287296